nr,TL,TW,Sex,fecundity,Location,Introduction,age,0,1,2,3,4,5,6,7,8
36,85,7.1,0,3,Kõiguste,2014,3,NA,32.64553641823443,57.40853579511511,81.93634478390189,NA,NA,NA,NA,NA
40,127,32.1,0,3,Kõiguste,2014,3,NA,48.44841384420596,97.8077097085113,123.65090136545065,NA,NA,NA,NA,NA
47,143,45.5,0,3,Kõiguste,2014,3,NA,54.6678927884392,110.84699983183003,140.36624450974705,NA,NA,NA,NA,NA
48,132,32.30000000000001,0,3,Kõiguste,2014,3,NA,58.2448571793948,102.38660313156075,130.04806805389705,NA,NA,NA,NA,NA
5,174,85.4,1,4,Kõiguste,2014,3,NA,52.46117536403274,108.4866846287498,172.91834379369286,NA,NA,NA,NA,NA
7,186,91.3,1,4,Kõiguste,2014,3,NA,68.5737655474448,135.53184091031216,178.14778979344618,NA,NA,NA,NA,NA
9,174,83.4,1,4,Kõiguste,2014,3,NA,69.42013487369455,134.64055624493955,169.87862600487466,NA,NA,NA,NA,NA
13,110,18.7,1,2,Kõiguste,2014,3,NA,40.82829186101759,84.37444797604631,107.09290719811446,NA,NA,NA,NA,NA
25,104,14.9,1,3,Kõiguste,2014,3,NA,32.726103499150106,74.82305336891183,101.43786646565572,NA,NA,NA,NA,NA
37,201,115.9,1,4,Kõiguste,2014,3,NA,51.46300850048773,137.4530967471079,188.85247361244518,NA,NA,NA,NA,NA
38,207,125.5,1,4,Kõiguste,2014,3,NA,90.73085947041798,173.6057061562798,205.4202562428046,NA,NA,NA,NA,NA
42,144,45.8,1,3,Kõiguste,2014,3,NA,44.5540471234524,105.06284232150335,142.34256745205755,NA,NA,NA,NA,NA
44,161,69.7,1,2,Kõiguste,2014,3,NA,72.95085539389488,133.5602607923127,159.0595229838875,NA,NA,NA,NA,NA
46,155,63.5,1,2,Kõiguste,2014,3,NA,46.74815849589285,113.15583973821218,150.53400474512205,NA,NA,NA,NA,NA
51,171,91.8,1,3,Kõiguste,2014,3,NA,59.18275136482788,139.28262932472626,161.60270526106672,NA,NA,NA,NA,NA
58,183,84.3,1,3,Kõiguste,2014,3,NA,67.51324439000386,129.73395990943058,162.30500494708087,NA,NA,NA,NA,NA
14,104,15.6,3,2,Kõiguste,2014,3,NA,36.913653233990246,70.84488987786268,101.5985256931336,NA,NA,NA,NA,NA
18,117,13.9,3,2,Kõiguste,2014,3,NA,48.88697528847958,87.39775289528819,114.36181946539888,NA,NA,NA,NA,NA
19,111,15.9,3,2,Kõiguste,2014,3,NA,33.596104175538024,75.62208572701125,107.85162725317169,NA,NA,NA,NA,NA
26,112,18.1,3,2,Kõiguste,2014,3,NA,37.49440119971752,77.6982139950597,108.76362001514484,NA,NA,NA,NA,NA
33,98,13.4,3,2,Kõiguste,2014,3,NA,36.9426156836753,75.07356275533391,96.34980042388312,NA,NA,NA,NA,NA
52,126,26.8,3,2,Kõiguste,2014,3,NA,47.73556661873096,89.83119025983996,123.56884675279211,NA,NA,NA,NA,NA
3,187,105.2,0,4,Kõiguste,2014,4,NA,49.78168585821976,122.19222585626932,162.27597943391348,184.43250555659873,NA,NA,NA,NA
17,102,14,0,3,Kõiguste,2014,4,NA,34.68576441586398,82.1758878778062,95.83206664896491,NA,NA,NA,NA,NA
43,163,74.3,0,4,Kõiguste,2014,4,NA,58.024823073600786,119.38904511392914,144.3416213768692,160.82028287112956,NA,NA,NA,NA
45,157,51.7,0,3,Kõiguste,2014,4,NA,46.381834221274964,107.82176248668145,128.9660177122521,153.9644732554668,NA,NA,NA,NA
50,175,82.2,0,4,Kõiguste,2014,4,NA,43.404156666871486,124.03173127651962,155.6003410303744,165.43426954032282,NA,NA,NA,NA
