nr,sex,location,introduction,age,tl
15,3,Matsalu,2016,1,18.892127123528876
23,3,Matsalu,2016,1,27.650465875563622
24,3,Matsalu,2016,1,37.66003487178951
26,3,Matsalu,2016,1,25.63975501036303
28,3,Matsalu,2016,1,41.066112608961916
30,3,Matsalu,2016,1,52.9053673236849
31,3,Matsalu,2016,1,32.93945543027579
41,3,Matsalu,2016,1,47.710044703032764
46,3,Matsalu,2016,1,55.877082398093215
47,3,Matsalu,2016,1,58.89359870853572
52,3,Matsalu,2016,1,46.540041487996035
54,1,Matsalu,2016,1,56.08975027230267
49,1,Matsalu,2016,1,74.56045401415786
35,0,Saarnaki,2016,1,62.33149879484077
41,0,Saarnaki,2016,1,77.29994078946036
43,0,Saarnaki,2016,1,65.64196874477516
45,0,Saarnaki,2016,1,74.21732562195106
10,1,Saarnaki,2016,1,99.77930867573411
34,1,Saarnaki,2016,1,63.7193908110222
37,1,Saarnaki,2016,1,71.35429731627124
4,3,Saarnaki,2016,1,72.67753705591248
5,3,Saarnaki,2016,1,60.81656362983245
8,3,Saarnaki,2016,1,87.61693456591767
23,3,Saarnaki,2016,1,61.1140407251914
24,3,Saarnaki,2016,1,58.23977212007738
25,3,Saarnaki,2016,1,58.50977070449936
36,3,Saarnaki,2016,1,58.6181495668698
38,3,Saarnaki,2016,1,71.80752147901396
44,3,Saarnaki,2016,1,41.851240238642085
1,0,Saarnaki,2016,1,32.12224629438834
12,0,Saarnaki,2016,1,47.4035795551002
14,0,Saarnaki,2016,1,49.27897809163618
16,0,Saarnaki,2016,1,49.1478967842346
18,0,Saarnaki,2016,1,58.786696639546726
19,0,Saarnaki,2016,1,37.77624415029124
20,0,Saarnaki,2016,1,61.41243670582822
22,0,Saarnaki,2016,1,36.4399993808828
26,0,Saarnaki,2016,1,23.619919236249117
29,0,Saarnaki,2016,1,53.01992966728485
40,0,Saarnaki,2016,1,63.11644252970512
2,1,Saarnaki,2016,1,41.50269838656027
7,1,Saarnaki,2016,1,50.690844610779386
9,1,Saarnaki,2016,1,51.197463744627164
11,1,Saarnaki,2016,1,50.98066134470803
15,1,Saarnaki,2016,1,46.50434166403286
17,1,Saarnaki,2016,1,57.99862343412171
21,1,Saarnaki,2016,1,40.842204021981644
31,1,Saarnaki,2016,1,71.15830667851515
32,1,Saarnaki,2016,1,46.883178143922706
33,1,Saarnaki,2016,1,68.39048863973876
39,1,Saarnaki,2016,1,59.87735491129203
46,1,Saarnaki,2016,1,51.69157017052633
47,1,Saarnaki,2016,1,61.206191174369614
49,1,Saarnaki,2016,1,51.43233525913499
51,1,Saarnaki,2016,1,51.403493136416294
52,1,Saarnaki,2016,1,52.770224135045
53,1,Saarnaki,2016,1,55.247453183786405
54,1,Saarnaki,2016,1,39.025270721782995
57,1,Saarnaki,2016,1,60.02823299683607
3,3,Saarnaki,2016,1,28.869489287888673
28,3,Saarnaki,2016,1,53.15385639729253
30,3,Saarnaki,2016,1,60.39144951632642
59,1,Saarnaki,2016,1,94.45886592764529
37,3,Tallinna laht,2005,1,11.78851648548098
53,3,Tallinna laht,2005,1,22.116488494085544
54,3,Tallinna laht,2005,1,32.45117594159012
49,3,Tallinna laht,2005,1,13.832613190769635
60,3,Tallinna laht,2005,1,18.4686172955752
15,0,Tallinna laht,2005,1,67.30987841225159
29,0,Tallinna laht,2005,1,46.903270476313565
59,3,Tallinna laht,2005,1,27.145891351841364
36,0,Tallinna laht,2005,1,24.22015379517746
6,1,Tallinna laht,2005,1,43.41302328701611
26,1,Tallinna laht,2005,1,38.80208447760473
31,0,Tallinna laht,2005,1,33.04981619791033
32,0,Tallinna laht,2005,1,26.79760088891272
2,1,Tallinna laht,2005,1,51.12582406033947
9,1,Tallinna laht,2005,1,35.207697078660935
11,1,Tallinna laht,2005,1,40.10897944100832
12,1,Tallinna laht,2005,1,29.684046293112843
